syllables He,['was'] 
descend to,['you']
walls are,['sound']
the shop,['window']
my level,['what']
hydraulic press,|['This', 'in', 'and']|
tend towards,['the']
nine when,['I']
you learn,['from']
the ladies,['who']
was performed,['at']
covered his,['face']
your patients,['spare']
her since,['I']
immense responsibility,['which']
bandaged me,['and']
wrong again,['he']
gets to,['the']
bands which,['was']
something abnormal,['though']
empty berth,['you.']
compliments of,['the']
house sweet loving,['beautiful']
consequential way,['Our']
depose that,['Mr']
manners he,['was']
am When,['I']
them with,|['a', 'ink', 'the']|
kindly put,|['your', 'two']|
slip your,['revolver']
both in,['the']
time That,['left']
Star of,['Savannah']
palpitating with,|['horror', 'fear']|
Two attempts,['of']
bedroom door,['likely']
if ever,['he']
blinked up,['at']
room at,|['all', 'The', 'Baker']|
had pulled,['up']
danger  What,['danger']
deep conversation,['with']
unforeseen occurred,['to']
dress with,['a']
five years,|['ago', 'and', 'at', 'said']|
and usually,['in']
darted what,['seemed']
determined attempts,['at']
refreshingly unusual,['But']
been committed,|['As', 'and', 'said']|
off both,['my']
here" I picked,['up']
broadest part,['as']
reward but,['you']
none." laughed.,['It']
the preposterous,['hat']
not there,|['Oh', 'This', 'when']|
little rat-faced,['fellow']
here again,|['I', 'before']|
help her,['whole']
little knot,['of']
which our,|['visitor', 'fads']|
City It's,['not']
Frank wouldn't,['throw']
station but,['it']
same innocent,['category']
a clean,['one']
lucid come,['to']
as was,|['his', 'drawn', 'shown']|
fellow wanted,['to']
here before,|['they', 'it']|
he parted,['from']
flap has,['been']
a bent,['back']
Two hansoms,['were']
not waiting,['for']
reasons why,['the']
set out,['ready']
a clear,|['field', 'account']|
dowry fair,['dowry']
his smokes,['of']
The facts,['are']
or twice,['as']
spoke am,['afraid']
expected to,|['see', 'meet', 'take', 'make']|
crying As,['she']
madam I,['do']
said Baker,['who']
opium The,['habit']
every detail,['of']
this mean,|['I', 'John?']|
disturbed did,['you']
his back,|['before', 'turned', 'or', 'so']|
it must,|['be', 'have']|
and conduct,['of']
anxious about,['the']
Suddenly a,['door']
least interested,['but']
my maid,['who']
 DISSOLVED,['']
a civilised,['land']
looked her,['over']
of Savannah,|['that', 'but']|
wrung my,['hand']
allowed a,['regurgitation']
to inquire,['more']
tell her,|['she', 'sweetheart']|
House festivities,['is']
of Oxfordshire,['and']
to aid,['us']
establishment were,['sufficient']
I lock,['this']
skill has,['indeed']
place considerable,['confidence']
cried pull,['yourself']
covered all,['tracks']
running his,['eye']
were protruding,['his']
|certainly." you,|,['Miss']
last the,['little']
called in,['the']
staggered back,['white']
unofficial adviser,['and']
great delicacy,['and']
say There,['but']
trove indeed,['I']
is so,|['uncourteous', 'long', 'important', 'ill', 'I', 'remarkable', 'keen', 'cunning', 'small', 'dreadful', 'very', 'lonely', 'dreadfully']|
easy-going way,['Holmes']
Holland Beyond,['these']
not and,|['am', 'there']|
a plumber,|['in', 'was']|
knees staring,['into']
and none,['the']
self-control she,['ran']
whole face,['sharpened']
Robert you,['have']
had escaped,|['my', 'came']|
I screamed,['you']
For some,['years']
mouth before,['a']
two guardsmen,['who']
lights still,['glimmered']
and forming,['the']
about half,|['an', 'a']|
fellow is,|['it', 'madly']|
rattle off,['down']
a quavering,['voice']
shelf beside,['you']
sally out,['into']
six feet,['six']
the second,|['Holmes', 'day', 'from', 'floor', 'morning', 'bar', 'half', 'my', 'that', 'one', 'largest', 'waiting-maid', 'glance']|
led into,|['a', 'the', 'an']|
be necessary,['in']
caved in,['a']
question Frankly,['now']
know without,['reading']
their position,|['and', 'a']|
his reply,['was']
month Yet,['I']
learned something,['Where']
be altogether,['invaluable']
is then,['that']
and throwing,|['himself', 'open', 'the']|
umbrella said,['Holmes']
rounds of,['bread']
find him?,['at']
walking-clothes as,['I']
little theory,['of']
talk about,|['George', 'that', 'the']|
throughout three,['continents']
masked the,['face']
Square that,['only']
his lameness,['impression']
grieved But,['here']
and interest,['which']
skill in,['unravelling']
head had,['been']
by main,['force']
to doing,['such']
had foresight,['but']
a faint,['right']
sentence As,['it']
bicycling He,['was']
east The,['sun']
fads and,['expected']
this direction,['during']
sorry if,['I']
other respects,|['he', 'you']|
illuminated than,['the']
you. Pray,['proceed']
happy at,['home']
flowers She,['states']
of quietly,['digesting']
shown that,|['you', 'there']|
would there,['was']
these varied,['cases']
addition has,['been']
of getting,|['those', 'these']|
the village,|['and', 'all', 'said', 'inn', 'The']|
my relief,['that']
be his,|['natural', 'one']|
a confidant,['They']
proofs which,['I']
any doubt,['as']
small that,|['a', 'it']|
important said,['he']
himself indicated that,['of']
foot over,|['the', 'that']|
kindly escorted,['me']
sweetheart of,['whom']
her about,['poison']
do find,['it']
clerks about,['having']
night to,['prevent']
rumour is,['correct']
|no, we|,['should']
twice for,['walks']
was considerably,['after']
Cusack and you,['managed']
six Come,['in']
of Birchmoor,['it']
until he,|['was', 'got', 'had', 'does', 'heard', 'came', 'should', 'choked']|
was accustomed,|['to', 'His']|
came straight,['to']
house I,|['shall', 'hesitated', 'should', 'kept', 'am', 'saw', 'may']|
can very,['well']
colonel By,['the']
began as,['a']
this point,['and']
other garments,['had']
fancies of,['a']
is introspective,['and']
brought this,['with']
nature If,['you']
The envelope,['was']
am still,|['in', 'a']|
the skylight,['We']
note paid,["Whitney's"]
remarked our,['prisoner']
house a,['little']
the well-known,|['adventuress', 'Surrey', 'firm']|
soon evident,['to']
shabby-genteel place,['where']
peculiar dying,['reference']
caution The,['blow']
them would,|['cripple', 'pay']|
after Christmas,['with']
houses believe,['that']
the carbuncle,['save']
witness Inspector,['Bradstreet']
who drove,['him']
than once,|['a', 'taken', 'before', 'in', 'when', 'to', 'observed', 'I']|
parts of,['the']
yes I,|['am', 'recall', 'should']|
one rogue,['has']
latter knocked,['off']
were alone,['I']
When he,|['was', 'reached', 'told', 'breathed', 'came']|
rigid stare,['at']
remarked looking,['up']
details that,['it']
of greeting,['with']
through them,['The']
to general,['impressions']
knows nothing,['whatever']
said Theories,['are']
wedding-morning but,['what']
worked Having,['taken']
in death,['I']
years 82,['and']
in sheer,['lassitude']
present is,['our']
found this,|['single', 'in']|
touched on,['three']
present it,['is']
indiscretion was,['mad insane']
a note,|['of', 'Doctor', 'before', 'to', 'by', 'And', 'As', 'as', 'for', 'is']|
deserved punishment,['more']
receiving this,['the']
left them,['was']
up every,['meal']
my method,['It']
know that,|['you', 'there', 'she', 'I', 'her', 'your', 'it', 'James', 'he', 'Turner', 'my', 'the', 'all', 'Miss', 'clerks', 'everything', 'within', 'She']|
present in,['the']
say upon,['me']
cares for,['me']
less amiable,['They']
by men,['and']
sunk forward,['and']
rights and,['finally']
he looks,|['a', 'as']|
is probable,|['that', 'And']|
an evening,|['Mr', 'paper']|
aperture the,['darkness']
great many,['scattered']
statement could,['not']
a petty,|['way', 'feeling']|
remarkable one,['and']
composed of,['all']
a boiling,['passion']
without delay,['had']
she used,['shook']
The smell,['of']
gentleman's chambers,['in']
to stay,|['in', 'said']|
it that,|['started', 'I', 'it', 'there', 'the', 'no', 'he']|
yet every,['link']
side-lights when,['I']
knee Five,['little']
up With,['your']
our depositors,['One']
the vile,['stupefying']
really mere,['commonplaces']
the stripped,['body']
it than,['might']
floor Suddenly,['my']
accounts are,['in']
carefully It,['ran']
followed you,['to']
stone with,['a']
Simon sank,['into']
Australia and,['returned']
Holmes welcomed,['her']
might not,|['take', 'bite', 'be', 'fall']|
have got,|['it', 'his', 'if', 'to', 'diamond,', 'them']|
willingly the,['charming']
give advice,['to']
father entered,['into']
little reed-girt,['sheet']
smoothed one,['out']
quick step,['forward']
rambling and,['inconsequential']
levers and,['the']
be ignorant,['of']
Arthur should,['be']
fortune I,|['thought', 'think']|
its name,['to']
out He,|['was', 'chuckled']|
weary and,|['stiff', 'haggard', 'pale-looking']|
elapsed since,['then']
but within,['a']
thing remarked,['Holmes']
strong language,['to']
which veiled,['his']
Stoper I,['had']
death and,|['a', 'also', 'narrowly', 'yet', 'I']|
others which,['represent']
afternoon at,['three']
waiting said,['I']
companion Pon,['my']
morning the,['blow']
temporary office,['the']
hands my,['dear']
chase would,['suddenly']
grizzled hair,|['and', 'which']|
excuses escaped,['from']
roughs had,['also']
retain the,|['records', 'hat']|
Pondicherry seven,['weeks']
women in,|['the', 'whom']|
it would,|['be', 'spare', 'certainly', 'hardly', 'suit', 'give', 'make', 'have', 'go', 'leave', 'all', 'not', 'take', 'occur', 'swim', 'crawl', 'soon']|
the arrest,['of']
people were,['absolutely']
methods that,['there']
the claspings,['and']
I ruefully,['pointing']
minutes He,['curled']
go away.,['it']
seat cross-legged,['with']
ready I,['know']
hours if,['he']
I suppose.,|['no,']|
and thirty,['pounds']
quest of,['She']
could to,|['cheer', 'relieve']|
too It's,['about']
weeks later,['upon']
of tracks,['of']
this very,|['paper', 'man', 'singular', 'woman']|
expensive joke,['for']
the offence,['but']
|then, did|,['Peterson']
can we,['have']
was gone,|['you', 'I', 'he', 'through']|
circle of,|['yellow', 'friends']|
velvet collar,['lay']
His rooms,['were']
Then perhaps,['I']
window a,['long']
had one,|['or', 'son']|
me asked,['Holmes']
perhaps fluttered,['out']
shown by,['the']
There will,|['probably', 'soon']|
so? I,['forbid']
it better,|['if', 'not']|
tail quivered,['with']
still But,['we']
medical degree,['and']
literature and,['crime']
you wore,['the']
should judge,['would']
window I,|['caught', 'saw']|
and seldom,['came']
impunity with,['which']
you work,['it']
window A,['nice']
piquant details,['have']
a jump,['in']
exceedingly interesting,['case']
have I,|['the', 'to', 'foresee', 'seen', 'gained', 'worn', 'You']|
fancies must,['be']
It's worth,['quite']
and seen,['him']
dread of,['losing']
a bill,['for']
this thought,['in']
safety. He,['drew']
is he,|['like', 'it', 'cried', 'now', 'silent', 'I']|
have a,|['most', 'clear', 'cab', 'small', 'job', 'holiday', 'private', 'business', 'look', 'hundred', 'quick', 'family', 'fairly', 'vague', 'caseful', 'better', 'word', 'fuss', 'clue', 'little', 'seven-mile', 'grand', 'very', 'quiet', 'regular', 'series', 'friend', 'line', 'fiver', 'sovereign', 'right', 'housekeeper', 'professional', 'confused', 'whisky', 'large', 'farthing', 'maid']|
something suddenly,['snapped']
obvious precaution.,['With']
Willows says,['that']
noose round,['the']
some crony,['of']
his daughter,['had']
other thirty-six,['into']
Watson how,['dangerous']
talk with,['you']
worn before,['It']
is older,['than']
Road A,['few']
through all,['the']
his skirts,['The']
rose hurriedly,['muttered']
held the,|['little', "horse's"]|
So long,|['then', 'was']|
still balancing,['the']
overlook If,['not']
goose to,['me']
the Openshaw,['unbreakable']
between this,|['stranger', 'and']|
examine it,['I']
this bears,['upon']
asking him,|['whether', 'if']|
Roylott had,['gone']
Still that,['little']
A maid,['rushed']
excellent character,['however']
We laid,['him']
|Yard right,"|,['said']
work day,['which']
cravat and,['his']
unconscious man,['out']
out-of-the-way place,['And']
lined the,|['floor', 'lake']|
fog said,['Holmes']
The instant,['that']
paid for,['and']
grey with,['restless']
About this,['girl']
violent we,['shall']
very hard,|['man', 'to', 'at']|
our prisoner,['as']
leakage which,['allowed']
begun to,|['hope', 'take', 'whiten', 'rise']|
shrieked you're,['looking']
he rushed,['into']
had two,|['sons my', 'important', 'police']|
Holmes ran,['her']
cold and,['forbidding']
dark figure,['in']
incognito from,['Prague']
I strolled,|['round', 'up']|
having upon,['the']
lid Its,['splendour']
station in,['the']
Turning round,['we']
missing man,|['They', 'I']|
tapped his,['forehead']
together at,['the']
pool for,['he']
together as,['was']
major of,['marines']
the landlady's,['Holmes']
strong part,['in']
word shall,['I']
locked it,|['up', 'in', 'again']|
sorry to,|['hear', 'give', 'knock', 'have', 'see']|
drive to,|['Baker', 'Waterloo']|
whose warning,['I']
locked in,['the']
miss? he,['asked']
table had,|['brought', 'not']|
thin hands,['must']
why?" she,['has']
